,tweet_id,expanded_urls,rating_numerator,rating_denominator,dog_class
2229,668248472370458624,https://twitter.com/dog_rates/status/668248472370458624/photo/1,8,10,
2228,668256321989451776,https://twitter.com/dog_rates/status/668256321989451776/photo/1,13,10,
2227,668268907921326080,https://twitter.com/dog_rates/status/668268907921326080/photo/1,10,10,
2226,668274247790391296,https://twitter.com/dog_rates/status/668274247790391296/photo/1,10,10,
2225,668286279830867968,https://twitter.com/dog_rates/status/668286279830867968/photo/1,11,10,
2224,668291999406125056,https://twitter.com/dog_rates/status/668291999406125056/photo/1,10,10,
2223,668297328638447616,https://twitter.com/dog_rates/status/668297328638447616/photo/1,9,10,
2222,668466899341221888,https://twitter.com/dog_rates/status/668466899341221888/photo/1,4,10,
2221,668480044826800133,https://twitter.com/dog_rates/status/668480044826800133/photo/1,11,10,
2220,668484198282485761,https://twitter.com/dog_rates/status/668484198282485761/photo/1,9,10,
2219,668496999348633600,https://twitter.com/dog_rates/status/668496999348633600/photo/1,8,10,
2218,668507509523615744,https://twitter.com/dog_rates/status/668507509523615744/photo/1,10,10,
2217,668528771708952576,https://twitter.com/dog_rates/status/668528771708952576/photo/1,12,10,
2216,668537837512433665,https://twitter.com/dog_rates/status/668537837512433665/photo/1,8,10,
2215,668542336805281792,https://twitter.com/dog_rates/status/668542336805281792/photo/1,10,10,
2214,668544745690562560,https://twitter.com/dog_rates/status/668544745690562560/photo/1,10,10,
2213,668567822092664832,https://twitter.com/dog_rates/status/668567822092664832/photo/1,11,10,
2212,668587383441514497,https://vine.co/v/ea0OwvPTx9l,13,10,
2211,668614819948453888,https://twitter.com/dog_rates/status/668614819948453888/photo/1,7,10,
2210,668620235289837568,https://twitter.com/dog_rates/status/668620235289837568/photo/1,10,10,
2209,668623201287675904,"https://twitter.com/dog_rates/status/668623201287675904/photo/1,https://twitter.com/dog_rates/status/668623201287675904/photo/1,https://twitter.com/dog_rates/status/668623201287675904/photo/1,https://twitter.com/dog_rates/status/668623201287675904/photo/1",10,10,
2208,668625577880875008,https://twitter.com/dog_rates/status/668625577880875008/photo/1,10,10,
2207,668627278264475648,https://twitter.com/dog_rates/status/668627278264475648/photo/1,9,10,
2206,668631377374486528,https://twitter.com/dog_rates/status/668631377374486528/photo/1,5,10,
2205,668633411083464705,"https://twitter.com/dog_rates/status/668633411083464705/photo/1,https://twitter.com/dog_rates/status/668633411083464705/photo/1",10,10,
2204,668636665813057536,https://twitter.com/dog_rates/status/668636665813057536/photo/1,10,10,
2203,668641109086707712,https://twitter.com/dog_rates/status/668641109086707712/photo/1,10,10,
2202,668643542311546881,https://twitter.com/dog_rates/status/668643542311546881/photo/1,3,10,
2201,668645506898350081,https://twitter.com/dog_rates/status/668645506898350081/photo/1,11,10,
2200,668655139528511488,https://twitter.com/dog_rates/status/668655139528511488/photo/1,11,10,
2199,668779399630725120,https://twitter.com/dog_rates/status/668779399630725120/photo/1,10,10,
2198,668815180734689280,https://twitter.com/dog_rates/status/668815180734689280/photo/1,7,10,
2197,668826086256599040,https://twitter.com/dog_rates/status/668826086256599040/photo/1,10,10,
2196,668852170888998912,https://twitter.com/dog_rates/status/668852170888998912/photo/1,11,10,
2195,668872652652679168,https://twitter.com/dog_rates/status/668872652652679168/photo/1,11,10,
2194,668892474547511297,https://twitter.com/dog_rates/status/668892474547511297/photo/1,11,10,
2193,668902994700836864,https://twitter.com/dog_rates/status/668902994700836864/photo/1,11,10,
2192,668932921458302977,https://twitter.com/dog_rates/status/668932921458302977/photo/1,9,10,
2191,668955713004314625,https://twitter.com/dog_rates/status/668955713004314625/photo/1,10,10,
2190,668960084974809088,https://twitter.com/dog_rates/status/668960084974809088/photo/1,10,10,
2188,668975677807423489,https://twitter.com/dog_rates/status/668975677807423489/photo/1,11,10,
2187,668979806671884288,https://twitter.com/dog_rates/status/668979806671884288/photo/1,12,10,
2186,668981893510119424,https://twitter.com/dog_rates/status/668981893510119424/photo/1,4,10,
2185,668986018524233728,https://twitter.com/dog_rates/status/668986018524233728/photo/1,9,10,
2184,668988183816871936,https://twitter.com/dog_rates/status/668988183816871936/photo/1,7,10,
2183,668989615043424256,https://twitter.com/dog_rates/status/668989615043424256/photo/1,3,10,
2182,668992363537309700,https://twitter.com/dog_rates/status/668992363537309700/photo/1,8,10,
2181,668994913074286592,https://twitter.com/dog_rates/status/668994913074286592/photo/1,5,10,
2180,669000397445533696,https://twitter.com/dog_rates/status/669000397445533696/photo/1,11,10,
2179,669006782128353280,https://twitter.com/dog_rates/status/669006782128353280/photo/1,12,10,
2178,669015743032369152,https://twitter.com/dog_rates/status/669015743032369152/photo/1,10,10,
2177,669037058363662336,https://twitter.com/dog_rates/status/669037058363662336/photo/1,10,10,
2176,669203728096960512,https://twitter.com/dog_rates/status/669203728096960512/photo/1,9,10,
2175,669214165781868544,https://twitter.com/dog_rates/status/669214165781868544/photo/1,10,10,
2174,669216679721873412,https://twitter.com/dog_rates/status/669216679721873412/photo/1,8,10,
2173,669324657376567296,https://twitter.com/dog_rates/status/669324657376567296/photo/1,11,10,
2172,669327207240699904,https://twitter.com/dog_rates/status/669327207240699904/photo/1,13,10,
2171,669328503091937280,https://twitter.com/dog_rates/status/669328503091937280/photo/1,12,10,
2170,669351434509529089,https://twitter.com/dog_rates/status/669351434509529089/photo/1,10,10,
2168,669354382627049472,https://twitter.com/dog_rates/status/669354382627049472/photo/1,8,10,
2167,669359674819481600,https://twitter.com/dog_rates/status/669359674819481600/photo/1,11,10,
2166,669363888236994561,https://twitter.com/dog_rates/status/669363888236994561/photo/1,10,10,
2165,669367896104181761,https://twitter.com/dog_rates/status/669367896104181761/photo/1,10,10,
2164,669371483794317312,https://twitter.com/dog_rates/status/669371483794317312/photo/1,10,10,
2163,669375718304980992,https://twitter.com/dog_rates/status/669375718304980992/photo/1,6,10,
2162,669393256313184256,https://twitter.com/dog_rates/status/669393256313184256/photo/1,10,10,
2161,669564461267722241,https://twitter.com/dog_rates/status/669564461267722241/photo/1,10,10,
2160,669567591774625800,https://twitter.com/dog_rates/status/669567591774625800/photo/1,9,10,
2159,669571471778410496,https://twitter.com/dog_rates/status/669571471778410496/photo/1,7,10,
2158,669573570759163904,https://twitter.com/dog_rates/status/669573570759163904/photo/1,10,10,
2157,669583744538451968,https://twitter.com/dog_rates/status/669583744538451968/photo/1,6,10,
2156,669597912108789760,https://twitter.com/dog_rates/status/669597912108789760/photo/1,10,10,
2155,669603084620980224,https://twitter.com/dog_rates/status/669603084620980224/photo/1,10,10,
2154,669625907762618368,https://twitter.com/dog_rates/status/669625907762618368/photo/1,12,10,
2153,669661792646373376,https://twitter.com/dog_rates/status/669661792646373376/photo/1,5,10,
2152,669680153564442624,https://twitter.com/dog_rates/status/669680153564442624/photo/1,8,10,
2151,669682095984410625,https://twitter.com/dog_rates/status/669682095984410625/photo/1,9,10,
2150,669683899023405056,https://twitter.com/dog_rates/status/669683899023405056/photo/1,10,10,
2148,669749430875258880,https://twitter.com/dog_rates/status/669749430875258880/photo/1,8,10,
2147,669753178989142016,https://twitter.com/dog_rates/status/669753178989142016/photo/1,10,10,
2146,669923323644657664,https://twitter.com/dog_rates/status/669923323644657664/photo/1,10,10,
2145,669926384437997569,https://twitter.com/dog_rates/status/669926384437997569/photo/1,12,10,
2144,669942763794931712,https://twitter.com/dog_rates/status/669942763794931712/photo/1,11,10,
2143,669970042633789440,https://twitter.com/dog_rates/status/669970042633789440/photo/1,10,10,
2142,669972011175813120,https://twitter.com/dog_rates/status/669972011175813120/photo/1,10,10,
2141,669993076832759809,https://twitter.com/dog_rates/status/669993076832759809/photo/1,9,10,
2140,670003130994700288,https://twitter.com/dog_rates/status/670003130994700288/photo/1,10,10,
2139,670037189829525505,https://twitter.com/dog_rates/status/670037189829525505/photo/1,5,10,
2138,670040295598354432,https://twitter.com/dog_rates/status/670040295598354432/photo/1,10,10,
2137,670046952931721218,https://twitter.com/dog_rates/status/670046952931721218/photo/1,11,10,
2136,670055038660800512,https://twitter.com/dog_rates/status/670055038660800512/photo/1,3,10,
2135,670061506722140161,https://twitter.com/dog_rates/status/670061506722140161/photo/1,11,10,
2134,670069087419133954,https://twitter.com/dog_rates/status/670069087419133954/photo/1,5,10,
2133,670073503555706880,https://twitter.com/dog_rates/status/670073503555706880/photo/1,10,10,
2132,670079681849372674,https://twitter.com/dog_rates/status/670079681849372674/photo/1,10,10,
2131,670086499208155136,https://twitter.com/dog_rates/status/670086499208155136/photo/1,10,10,
2130,670093938074779648,https://twitter.com/dog_rates/status/670093938074779648/photo/1,9,10,
2129,670290420111441920,https://twitter.com/dog_rates/status/670290420111441920/photo/1,11,10,
2128,670303360680108032,https://twitter.com/dog_rates/status/670303360680108032/photo/1,9,10,
2127,670319130621435904,https://twitter.com/dog_rates/status/670319130621435904/photo/1,11,10,
2126,670338931251150849,https://twitter.com/dog_rates/status/670338931251150849/photo/1,10,10,
2125,670361874861563904,https://twitter.com/dog_rates/status/670361874861563904/photo/1,9,10,
2124,670374371102445568,https://twitter.com/dog_rates/status/670374371102445568/photo/1,12,10,
2123,670385711116361728,https://twitter.com/dog_rates/status/670385711116361728/photo/1,8,10,
2122,670403879788544000,https://twitter.com/dog_rates/status/670403879788544000/photo/1,10,10,
2121,670408998013820928,https://twitter.com/dog_rates/status/670408998013820928/photo/1,10,10,
2120,670411370698022913,https://twitter.com/dog_rates/status/670411370698022913/photo/1,12,10,
2119,670417414769758208,https://twitter.com/dog_rates/status/670417414769758208/photo/1,6,10,
2118,670420569653809152,https://twitter.com/dog_rates/status/670420569653809152/photo/1,10,10,
2117,670421925039075328,https://twitter.com/dog_rates/status/670421925039075328/photo/1,12,10,
2116,670427002554466305,https://twitter.com/dog_rates/status/670427002554466305/photo/1,9,10,
2115,670428280563085312,https://twitter.com/dog_rates/status/670428280563085312/photo/1,11,10,
2114,670433248821026816,https://twitter.com/dog_rates/status/670433248821026816/photo/1,10,10,
2113,670434127938719744,https://twitter.com/dog_rates/status/670434127938719744/photo/1,11,10,
2112,670435821946826752,https://twitter.com/dog_rates/status/670435821946826752/photo/1,10,10,
2111,670442337873600512,https://twitter.com/dog_rates/status/670442337873600512/photo/1,11,10,
2110,670444955656130560,https://twitter.com/dog_rates/status/670444955656130560/photo/1,10,10,
2109,670449342516494336,https://twitter.com/dog_rates/status/670449342516494336/photo/1,5,10,
2108,670452855871037440,https://twitter.com/dog_rates/status/670452855871037440/photo/1,11,10,
2107,670465786746662913,https://twitter.com/dog_rates/status/670465786746662913/photo/1,7,10,
2106,670468609693655041,https://twitter.com/dog_rates/status/670468609693655041/photo/1,10,10,
2105,670474236058800128,https://twitter.com/dog_rates/status/670474236058800128/photo/1,10,10,
2104,670668383499735048,https://twitter.com/dog_rates/status/670668383499735048/photo/1,10,10,
2103,670676092097810432,https://twitter.com/dog_rates/status/670676092097810432/photo/1,8,10,
2102,670679630144274432,https://twitter.com/dog_rates/status/670679630144274432/photo/1,8,10,
2101,670691627984359425,https://twitter.com/dog_rates/status/670691627984359425/photo/1,8,10,
2100,670704688707301377,https://twitter.com/dog_rates/status/670704688707301377/photo/1,6,10,
2099,670717338665226240,https://twitter.com/dog_rates/status/670717338665226240/photo/1,12,10,
2098,670727704916926465,https://twitter.com/dog_rates/status/670727704916926465/photo/1,10,10,
2097,670733412878163972,https://twitter.com/dog_rates/status/670733412878163972/photo/1,8,10,
2096,670755717859713024,https://twitter.com/dog_rates/status/670755717859713024/photo/1,9,10,
2095,670764103623966721,https://twitter.com/dog_rates/status/670764103623966721/photo/1,10,10,
2094,670778058496974848,https://twitter.com/dog_rates/status/670778058496974848/photo/1,10,10,
2093,670780561024270336,https://twitter.com/dog_rates/status/670780561024270336/photo/1,7,10,
2092,670782429121134593,https://twitter.com/dog_rates/status/670782429121134593/photo/1,5,10,
2091,670783437142401025,https://twitter.com/dog_rates/status/670783437142401025/photo/1,1,10,
2090,670786190031921152,https://twitter.com/dog_rates/status/670786190031921152/photo/1,8,10,
2089,670789397210615808,https://twitter.com/dog_rates/status/670789397210615808/photo/1,9,10,
2088,670792680469889025,https://twitter.com/dog_rates/status/670792680469889025/photo/1,7,10,
2087,670797304698376195,https://twitter.com/dog_rates/status/670797304698376195/photo/1,11,10,
2086,670803562457407488,https://twitter.com/dog_rates/status/670803562457407488/photo/1,10,10,
